STATION,PLATFORM,SERVING LINE,ORIGIN,DESTINATION,CONNECTION,DURATION,TRANSPORT_MODE,DELAY,STATUS
AUGUSTINUM,Augustinum::3,65,Obertürkheim Bf,Echterdingen Flughafen/Messe (SAB),65:Obertürkheim Bf-Echterdingen Flughafen/Messe (SAB),27,Bus,0,On time
AUGUSTINUM,Augustinum::4,65,Echterdingen Flughafen/Messe (SAB),Obertürkheim Bf,65:Echterdingen Flughafen/Messe (SAB)-Obertürkheim Bf,21,Bus,0,On time
STEINÄCKER,Steinäcker::4,65,Echterdingen Flughafen/Messe (SAB),Obertürkheim Bf,65:Echterdingen Flughafen/Messe (SAB)-Obertürkheim Bf,22,Bus,0,On time
STEINÄCKER,Steinäcker::3,65,Obertürkheim Bf,Echterdingen Flughafen/Messe (SAB),65:Obertürkheim Bf-Echterdingen Flughafen/Messe (SAB),26,Bus,0,On time
RIEDENBERG,Riedenberg::4,65,Echterdingen Flughafen/Messe (SAB),Obertürkheim Bf,65:Echterdingen Flughafen/Messe (SAB)-Obertürkheim Bf,23,Bus,0,On time
RIEDENBERG,Riedenberg::3,65,Obertürkheim Bf,Echterdingen Flughafen/Messe (SAB),65:Obertürkheim Bf-Echterdingen Flughafen/Messe (SAB),25,Bus,0,On time
UNIVERSITÄT_HOHENHEIM,Universität Hohenheim::3,70,Ruhbank (Fernsehturm),Plieningen Seemühlenweg,70:Ruhbank (Fernsehturm)-Plieningen Seemühlenweg,12,Bus,0,On time
UNIVERSITÄT_HOHENHEIM,Universität Hohenheim::4,65,Echterdingen Flughafen/Messe (SAB),Obertürkheim Bf,65:Echterdingen Flughafen/Messe (SAB)-Obertürkheim Bf,33,Bus,0,On time
UNIVERSITÄT_HOHENHEIM,Universität Hohenheim::4,70,Plieningen Seemühlenweg,Ruhbank (Fernsehturm),70:Plieningen Seemühlenweg-Ruhbank (Fernsehturm),12,Bus,0,On time
UNIVERSITÄT_HOHENHEIM,Universität Hohenheim::3,65,Obertürkheim Bf,Echterdingen Flughafen/Messe (SAB),65:Obertürkheim Bf-Echterdingen Flughafen/Messe (SAB),15,Bus,0,On time
FRUWIRTHSTRASSE,Fruwirthstraße::4,76,Echterdingen Bf,Degerloch ZOB,76:Echterdingen Bf-Degerloch ZOB,13,Bus,0,On time
FRUWIRTHSTRASSE,Fruwirthstraße::3,70,Ruhbank (Fernsehturm),Plieningen Seemühlenweg,70:Ruhbank (Fernsehturm)-Plieningen Seemühlenweg,13,Bus,0,On time
FRUWIRTHSTRASSE,Fruwirthstraße::4,65,Echterdingen Flughafen/Messe (SAB),Obertürkheim Bf,65:Echterdingen Flughafen/Messe (SAB)-Obertürkheim Bf,32,Bus,0,On time
FRUWIRTHSTRASSE,Fruwirthstraße::3,65,Obertürkheim Bf,Echterdingen Flughafen/Messe (SAB),65:Obertürkheim Bf-Echterdingen Flughafen/Messe (SAB),16,Bus,0,On time
FRUWIRTHSTRASSE,Fruwirthstraße::3,76,Degerloch ZOB,Echterdingen Bf,76:Degerloch ZOB-Echterdingen Bf,22,Bus,0,On time
FRUWIRTHSTRASSE,Fruwirthstraße::4,70,Plieningen Seemühlenweg,Ruhbank (Fernsehturm),70:Plieningen Seemühlenweg-Ruhbank (Fernsehturm),11,Bus,0,On time
BIRKACH_FRIEDHOF,Birkach Friedhof::4,76,Echterdingen Bf,Degerloch ZOB,76:Echterdingen Bf-Degerloch ZOB,12,Bus,0,On time
BIRKACH_FRIEDHOF,Birkach Friedhof::4,70,Plieningen Seemühlenweg,Ruhbank (Fernsehturm),70:Plieningen Seemühlenweg-Ruhbank (Fernsehturm),9,Bus,0,On time
BIRKACH_FRIEDHOF,Birkach Friedhof::3,70,Ruhbank (Fernsehturm),Plieningen Seemühlenweg,70:Ruhbank (Fernsehturm)-Plieningen Seemühlenweg,15,Bus,0,On time
BIRKACH_FRIEDHOF,Birkach Friedhof::3,65,Obertürkheim Bf,Echterdingen Flughafen/Messe (SAB),65:Obertürkheim Bf-Echterdingen Flughafen/Messe (SAB),18,Bus,0,On time
BIRKACH_FRIEDHOF,Birkach Friedhof::3,76,Degerloch ZOB,Echterdingen Bf,76:Degerloch ZOB-Echterdingen Bf,23,Bus,0,On time
BIRKACH_FRIEDHOF,Birkach Friedhof::4,65,Echterdingen Flughafen/Messe (SAB),Obertürkheim Bf,65:Echterdingen Flughafen/Messe (SAB)-Obertürkheim Bf,30,Bus,0,On time
BIRKHECKENSTRASSE,Birkheckenstraße::4,65,Echterdingen Flughafen/Messe (SAB),Obertürkheim Bf,65:Echterdingen Flughafen/Messe (SAB)-Obertürkheim Bf,29,Bus,0,On time
BIRKHECKENSTRASSE,Birkheckenstraße::4,70,Plieningen Seemühlenweg,Ruhbank (Fernsehturm),70:Plieningen Seemühlenweg-Ruhbank (Fernsehturm),8,Bus,0,On time
BIRKHECKENSTRASSE,Birkheckenstraße::4,76,Echterdingen Bf,Degerloch ZOB,76:Echterdingen Bf-Degerloch ZOB,10,Bus,0,On time
BIRKHECKENSTRASSE,Birkheckenstraße::3,70,Ruhbank (Fernsehturm),Plieningen Seemühlenweg,70:Ruhbank (Fernsehturm)-Plieningen Seemühlenweg,16,Bus,0,On time
BIRKHECKENSTRASSE,Birkheckenstraße::3,65,Obertürkheim Bf,Echterdingen Flughafen/Messe (SAB),65:Obertürkheim Bf-Echterdingen Flughafen/Messe (SAB),19,Bus,0,On time
BIRKHECKENSTRASSE,Birkheckenstraße::3,76,Degerloch ZOB,Echterdingen Bf,76:Degerloch ZOB-Echterdingen Bf,,Bus,0,On time
BIRKACH_WEST,Birkach West::4,65,Echterdingen Flughafen/Messe (SAB),Obertürkheim Bf,65:Echterdingen Flughafen/Messe (SAB)-Obertürkheim Bf,27,Bus,0,On time
BIRKACH_WEST,Birkach West::4,70,Plieningen Seemühlenweg,Ruhbank (Fernsehturm),70:Plieningen Seemühlenweg-Ruhbank (Fernsehturm),6,Bus,0,On time
BIRKACH_WEST,Birkach West::3,70,Ruhbank (Fernsehturm),Plieningen Seemühlenweg,70:Ruhbank (Fernsehturm)-Plieningen Seemühlenweg,17,Bus,0,On time
BIRKACH_WEST,Birkach West::4,71,Hoffeld,Schönberg,71:Hoffeld-Schönberg,4,Bus,0,On time
BIRKACH_WEST,Birkach West::3,65,Obertürkheim Bf,Echterdingen Flughafen/Messe (SAB),65:Obertürkheim Bf-Echterdingen Flughafen/Messe (SAB),20,Bus,0,On time
